"coverage","country","lon","lat"
"1","PT","-8.558349609375","39.6818254932918"
"1","PT","-8.690185546875","39.444677063693995"
"1","PT","-9.063720703125","39.56335264863388"
"1","PT","-9.019775390625","39.410732538426146"
"1","PT","-8.536376953125","38.950864885966624"
"1","PT","-8.514404296875","38.401948569634214"
"1","PT","-8.800048828125","39.54641140255015"
"1","PT","-8.338623046875","38.65977721690729"
"1","PT","-8.492431640625","39.27478914553456"
"1","PT","-8.690185546875","39.64799680624749"
"1","PT","-9.261474609375","39.138581474917935"
"1","PT","-8.997802734375","38.91668102155377"
"1","PT","-8.931884765625","39.01918317507621"
"1","PT","-8.536376953125002","39.35978475221358"
"1","PT","-8.668212890625","38.72837540415917"
"1","PT","-8.712158203125","39.24076199396913"
"1","PT","-9.019775390624998","39.121536946817415"
"1","PT","-9.261474609375","39.206718328999855"
"1","PT","-9.107666015625","38.625453458424474"
"1","PT","-8.712158203125","39.6818254932918"
"1","PT","-8.690185546875","38.625453458424474"
"1","PT","-9.173583984375","38.89958291122775"
"1","PT","-8.360595703125","39.495562843635824"
"1","PT","-9.107666015625","39.07037861567813"
"1","PT","-8.580322265625","39.104488293902605"
"1","PT","-9.327392578125","38.76264982411706"
"1","PT","-8.997802734375","39.444677063693995"
"1","PT","-8.492431640625002","39.512516499578055"
"1","PT","-9.415283203125","39.05331759139647"
"1","PT","-8.800048828125","38.5395721587234"
"1","PT","-9.195556640625","39.138581474917935"
"1","PT","-8.931884765625","39.35978475221358"
"1","PT","-8.953857421875","39.138581474917935"
"1","PT","-8.909912109374998","38.65977721690729"
"1","PT","-9.019775390625002","38.5395721587234"
"1","PT","-9.217529296875","39.05331759139647"
"1","PT","-8.997802734375","39.35978475221358"
"1","PT","-8.822021484375","39.63107625265483"
"1","PT","-8.843994140624998","39.08743551668511"
"1","PT","-9.151611328125002","39.32579890153912"
"1","PT","-8.778076171875","39.63107625265483"
"1","PT","-8.865966796875","39.58028975715459"
"1","PT","-8.580322265624998","39.27478914553456"
"1","PT","-9.063720703125","38.59111326262075"
"1","PT","-8.953857421875","39.512516499578055"
"1","PT","-8.756103515625","39.54641140255015"
"1","PT","-8.404541015625","38.65977721690729"
"1","PT","-8.514404296875002","38.67693293076353"
"1","PT","-8.360595703125","39.376771480078936"
"1","PT","-9.415283203125","38.71123202494018"
"1","PT","-8.800048828125","39.206718328999855"
"1","PT","-8.865966796875","39.59722272764313"
"1","PT","-9.261474609375","39.189690305241136"
"1","PT","-8.514404296875","39.08743551668511"
"1","PT","-8.843994140625","39.35978475221358"
"1","PT","-8.514404296875","39.35978475221358"
"1","PT","-9.129638671875","38.84826387414438"
"1","PT","-9.173583984374998","38.83114929486112"
"1","PT","-8.822021484375","39.46164312521604"
"1","PT","-8.690185546875","38.86537433698996"
"1","PT","-8.865966796875","39.42770686793681"
"1","PT","-8.690185546875","38.67693293076353"
"1","PT","-8.953857421875","39.61415155963188"
"1","PT","-9.327392578125002","39.24076199396913"
"1","PT","-8.734130859375","39.66491321994693"
"1","PT","-9.349365234375","38.76264982411706"
"1","PT","-8.712158203125","39.35978475221358"
"1","PT","-9.063720703125","38.57393700211938"
"1","PT","-9.129638671875","38.67693293076353"
"1","PT","-8.756103515625","39.291796527544385"
"1","PT","-9.151611328125","38.86537433698996"
"1","PT","-8.975830078125","39.56335264863388"
"1","PT","-8.360595703125002","39.56335264863388"
"1","PT","-8.558349609375002","39.66491321994693"
"1","PT","-8.448486328125","39.00210978407514"
"1","PT","-8.953857421875","39.698733625822285"
"1","PT","-8.800048828125","38.76264982411706"
"1","PT","-9.459228515625","38.84826387414438"
"1","PT","-8.602294921875","39.42770686793681"
"1","PT","-8.712158203125","39.63107625265483"
"1","PT","-9.085693359375","39.444677063693995"
"1","PT","-9.349365234375002","38.83114929486112"
"1","PT","-8.338623046875","39.54641140255015"
"1","PT","-8.778076171875","38.65977721690729"
"1","PT","-8.514404296875","39.6818254932918"
"1","PT","-8.865966796875","38.64261739260935"
"1","PT","-8.734130859375","39.64799680624749"
"1","PT","-9.305419921875","39.07037861567813"
"1","PT","-9.019775390625","39.529466019374105"
"1","PT","-9.041748046874998","39.63107625265483"
"1","PT","-8.734130859375002","39.6818254932918"
"1","PT","-8.558349609375","39.58028975715459"
"1","PT","-8.843994140624998","39.63107625265483"
"1","PT","-8.887939453125","39.206718328999855"
"1","PT","-9.129638671875","39.2237422254099"
"1","PT","-8.778076171875","39.56335264863388"
"1","PT","-8.975830078125","39.64799680624749"
"1","PT","-8.492431640625","39.529466019374105"
"1","PT","-8.624267578125","39.46164312521604"
"1","PT","-9.173583984375","38.96795063899681"
"1","PT","-8.909912109375","38.48799409611199"
"1","PT","-9.327392578124998","38.96795063899681"
"1","PT","-8.953857421875","39.2237422254099"
"1","PT","-8.514404296875","39.71563761708012"
"1","PT","-8.975830078125","39.15562187769409"
"1","PT","-8.756103515625002","39.08743551668511"
"1","PT","-9.085693359375002","39.35978475221358"
"1","PT","-8.734130859374998","38.60828541490896"
"1","PT","-8.668212890625","39.2237422254099"
"1","PT","-9.129638671875","39.32579890153912"
"1","PT","-8.536376953125","38.83114929486112"
"1","PT","-8.624267578125","39.35978475221358"
"1","PT","-9.239501953125","38.950864885966624"
"1","PT","-9.041748046875","39.34279389253714"
"1","PT","-9.019775390625","38.52238357695594"
"1","PT","-9.173583984374998","39.15562187769409"
"1","PT","-9.415283203125","38.76264982411706"
"1","PT","-8.909912109374998","39.59722272764313"
"1","PT","-8.712158203125","38.55675663396602"
"1","PT","-9.173583984375","38.76264982411706"
"1","PT","-9.349365234375","38.96795063899681"
"1","PT","-8.997802734375","38.64261739260935"
"1","PT","-9.217529296875","39.376771480078936"
"1","PT","-8.514404296875","38.98503227187442"
"1","PT","-9.481201171875","38.745514670733705"
"1","PT","-8.756103515625","39.410732538426146"
"1","PT","-8.887939453125","38.48799409611199"
"1","PT","-9.415283203125","38.694084533625"
"1","PT","-8.426513671875","38.814030599677274"
"1","PT","-8.843994140625","38.745514670733705"
"1","PT","-8.734130859374998","39.47860505202283"
"1","PT","-8.580322265625","38.71123202494018"
"1","PT","-8.778076171875","39.08743551668511"
"1","PT","-8.492431640624998","38.91668102155377"
"1","PT","-8.887939453124998","39.189690305241136"
"1","PT","-8.514404296874998","39.27478914553456"
"1","PT","-8.382568359374998","38.79690778913153"
"1","PT","-9.151611328125","39.42770686793681"
"1","PT","-9.063720703125","39.01918317507621"
"1","PT","-8.756103515625","38.89958291122775"
"1","PT","-8.514404296875","38.71123202494018"
"1","PT","-8.865966796875","39.66491321994693"
"1","PT","-9.173583984375","39.34279389253714"
"1","PT","-9.283447265624998","39.34279389253714"
"1","PT","-8.909912109375","38.93377501330977"
"1","PT","-9.019775390625002","38.60828541490896"
"1","PT","-9.239501953125","39.01918317507621"
"1","PT","-8.624267578125","39.291796527544385"
"1","PT","-8.712158203125","39.03625244435651"
"1","PT","-9.217529296875","38.625453458424474"
"1","PT","-9.415283203125","39.01918317507621"
"1","PT","-9.019775390625","38.91668102155377"
"1","PT","-8.843994140625","39.6818254932918"
"1","PT","-8.800048828125","39.32579890153912"
"1","PT","-8.470458984374998","39.529466019374105"
"1","PT","-9.173583984375","38.950864885966624"
"1","PT","-8.909912109375","38.60828541490896"
"1","PT","-8.909912109375","38.5395721587234"
"1","PT","-8.448486328125002","39.376771480078936"
"1","PT","-8.646240234375002","39.61415155963188"
"1","PT","-8.887939453124998","38.47079319817235"
"1","PT","-8.843994140625","39.47860505202283"
"1","PT","-8.887939453125","39.376771480078936"
"1","PT","-9.019775390625","39.56335264863388"
"1","PT","-8.558349609374998","39.15562187769409"
"1","PT","-8.382568359375","39.66491321994693"
"1","PT","-9.283447265625","38.79690778913153"
"1","PT","-8.931884765625","39.56335264863388"
"1","PT","-8.756103515625","39.71563761708012"
"1","PT","-9.239501953125","38.625453458424474"
"1","PT","-9.195556640625","38.71123202494018"
"1","PT","-9.349365234375002","39.376771480078936"
"1","PT","-9.041748046875","39.08743551668511"
"1","PT","-8.843994140624998","38.505190889229596"
"1","PT","-8.514404296875","39.05331759139647"
"1","PT","-8.338623046875","39.58028975715459"
"1","PT","-8.448486328125","39.61415155963188"
"1","PT","-9.371337890625","38.91668102155377"
"1","PT","-8.602294921875002","39.495562843635824"
"1","PT","-9.107666015625","38.505190889229596"
"1","PT","-8.997802734375","39.00210978407514"
"1","PT","-8.953857421875","38.625453458424474"
"1","PT","-8.712158203125","38.57393700211938"
"1","PT","-9.107666015625","38.59111326262075"
"1","PT","-8.690185546874998","38.93377501330977"
"1","PT","-9.349365234375","39.24076199396913"
"1","PT","-8.404541015625","39.529466019374105"
"1","PT","-9.019775390625","39.376771480078936"
"1","PT","-8.734130859375","38.625453458424474"
"1","PT","-9.481201171875","38.72837540415917"
"1","PT","-9.217529296875002","38.79690778913153"
"1","PT","-8.624267578125","39.444677063693995"
"1","PT","-9.173583984375","39.206718328999855"
"1","PT","-9.239501953124998","39.24076199396913"
"1","PT","-9.107666015624998","39.01918317507621"
"1","PT","-8.712158203125","38.71123202494018"
"1","PT","-8.778076171875","38.55675663396602"
"1","PT","-8.448486328124998","39.54641140255015"
"1","PT","-8.822021484375","38.52238357695594"
"1","PT","-8.646240234375","39.01918317507621"
"1","PT","-9.129638671875","39.25777763417702"
"1","PT","-9.063720703125002","39.39375407564524"
"1","PT","-8.887939453125","38.814030599677274"
"1","PT","-8.536376953125","39.444677063693995"
"1","PT","-8.843994140625","39.59722272764313"
"1","PT","-9.239501953125","38.76264982411706"
"1","PT","-8.953857421875","38.72837540415917"
"1","PT","-8.668212890625","39.308799779710654"
"1","PT","-9.195556640625","39.189690305241136"
"1","PT","-9.019775390625","39.444677063693995"
"1","PT","-8.931884765625","38.64261739260935"
"1","PT","-9.129638671875002","38.77978086376416"
"1","PT","-8.492431640625002","39.64799680624749"
"1","PT","-8.690185546874998","39.121536946817415"
"1","PT","-9.217529296875","39.189690305241136"
"1","PT","-9.173583984375","39.42770686793681"
"1","PT","-8.690185546875002","39.63107625265483"
"1","PT","-8.690185546875","39.66491321994693"
"1","PT","-8.887939453125","38.76264982411706"
"1","PT","-8.338623046875","39.46164312521604"
"1","PT","-9.019775390625","39.104488293902605"
"1","PT","-8.602294921875","38.67693293076353"
"1","PT","-9.283447265625002","38.98503227187442"
"1","PT","-9.217529296875","38.60828541490896"
"1","PT","-9.019775390624998","38.67693293076353"
"1","PT","-8.909912109375","39.308799779710654"
"1","PT","-9.415283203125","38.84826387414438"
"1","PT","-8.448486328125","39.01918317507621"
"1","PT","-9.173583984374998","38.48799409611199"
"1","PT","-8.668212890625","39.56335264863388"
"1","PT","-9.327392578125","39.32579890153912"
"1","PT","-8.800048828125","38.72837540415917"
"1","PT","-9.129638671875","39.35978475221358"
"1","PT","-8.865966796875002","38.694084533625"
"1","PT","-8.843994140625","39.71563761708012"
"1","PT","-8.843994140625","39.495562843635824"
"1","PT","-9.459228515625","38.77978086376416"
"1","PT","-8.756103515625","39.39375407564524"
"1","PT","-8.712158203124998","39.698733625822285"
"1","PT","-8.887939453125","39.121536946817415"
